Source,Target,Weights
d,ro,4
y,ra,4
s,zy,4
s,o,4
l,ot,4
c,ić,4
ro,ż,4
pe,r,4
pe,d,4
wi,e,4
ar,a,4
b,ot,4
wa,ć,4
owa,ć,4
p,er,3
t,niejszy,3
t,ować,3
t,at,3
ot,a,3
ot,k,3
ot,o,3
naj,r,3
z,ać,3
z,ro,3
a,ni,3
d,ać,3
d,os,3
n,owa,3
n,ot,3
j,b,3
j,w,3
j,h,3
s,ać,3
s,owy,3
k,ar,3
k,ra,3
i,er,3
i,at,3
i,owy,3
l,ny,3
l,ić,3
sy,m,3
u,sz,3
er,o,3
er,y,3
e,ro,3
za,r,3
c,za,3
c,ot,3
ro,n,3
ro,k,3
ro,s,3
w,ać,3
wi,l,3
ni,o,3
ar,c,3
ar,s,3
ar,y,3
b,ro,3
ko,n,3
ów,k,3
rz,y,3
po,ł,3
po,w,3
po,z,3
ia,k,3
ra,n,3
ra,c,3
ra,s,3
ow,a,3
ź,n,3
os,k,3
at,a,3
M,ar,3
tr,z,3
p,ed,2
t,ny,2
t,ra,2
t,owa,2
o,no,2
o,kr,2
o,wi,2
o,ra,2
ot,n,2
ot,r,2
r,za,2
r,on,2
r,ch,2
r,ów,2
r,et,2
z,ko,2
z,ie,2
z,eć,2
a,ch,2
a,on,2
d,er,2
d,iat,2
d,ni,2
n,aj,2
n,kr,2
n,ow,2
y,ka,2
y,rz,2
s,ad,2
s,ko,2
s,za,2
s,ia,2
s,ow,2
s,ić,2
s,tr,2
s,ta,2
sz,k,2
k,sy,2
k,sz,2
k,owy,2
k,os,2
k,ować,2
m,ot,2
i,pe,2
i,erz,2
i,et,2
l,ni,2
l,owy,2
l,ko,2
l,ow,2
erz,y,2
ad,y,2
h,wia,2
ro,z,2
w,ie,2
w,no,2
w,ow,2
w,owy,2
w,ni,2
ś,wia,2
ś,ni,2
ie,ć,2
wi,a,2
ch,a,2
ni,c,2
ni,ć,2
ar,o,2
an,i,2
b,ow,2
g,ot,2
g,ra,2
ko,w,2
ko,d,2
ko,h,2
ko,k,2
ka,ł,2
ka,m,2
rz,e,2
rz,u,2
po,r,2
kr,e,2
kr,u,2
et,r,2
no,b,2
no,m,2
f,ar,2
ia,ć,2
ra,w,2
ra,o,2
ra,b,2
wia,t,2
wia,ć,2
iat,r,2
pot,r,1
p,arować,1
p,ar,1
p,oł,1
p,eć,1
p,lo,1
p,ac,1
p,rzy,1
t,al,1
t,ni,1
t,ko,1
t,rz,1
o,bur,1
o,mi,1
o,tra,1
o,ny,1
o,wni,1
o,do,1
o,sz,1
o,ta,1
o,na,1
o,sko,1
o,być,1
o,ka,1
o,lo,1
o,tować,1
o,ry,1
ot,kow,1
ot,ować,1
r,ac,1
r,owa,1
r,us,1
r,ówn,1
r,ówno,1
r,os,1
r,yn,1
r,ski,1
r,zy,1
r,as,1
r,uc,1
r,ta,1
z,yk,1
z,ni,1
z,nica,1
z,jo,1
z,arować,1
z,ar,1
z,on,1
z,ów,1
z,uc,1
z,owy,1
z,ow,1
z,er,1
z,yć,1
z,być,1
a,ks,1
a,dy,1
a,cić,1
a,wi,1
a,lniejszy,1
a,ro,1
a,pe,1
a,ła,1
a,cz,1
a,czka,1
a,si,1
a,ry,1
a,ński,1
a,ci,1
a,tra,1
d,sz,1
d,erz,1
d,yk,1
n,iadać,1
n,ić,1
y,czny,1
y,no,1
y,czka,1
y,cz,1
j,ny,1
j,przytul,1
j,on,1
j,asn,1
j,ani,1
j,an,1
j,ni,1
j,nie,1
s,kow,1
s,no,1
s,iadać,1
s,prz,1
s,yn,1
s,trz,1
s,ny,1
aj,r,1
aj,s,1
sz,n,1
sz,a,1
sz,o,1
sz,e,1
mię,k,1
k,sym,1
k,rut,1
k,oł,1
k,ow,1
k,owa,1
k,bu,1
k,ok,1
ą,cze,1
m,ia,1
m,erzy,1
m,erz,1
m,ie,1
i,peron,1
i,eć,1
i,sz,1
i,ać,1
i,erzy,1
i,czny,1
i,ow,1
i,ński,1
mi,ę,1
mi,a,1
mi,e,1
l,os,1
sym,a,1
sym,b,1
ks,y,1
sy,j,1
u,lniejszy,1
u,rza,1
u,tn,1
u,tować,1
u,cić,1
erz,a,1
erz,b,1
er,s,1
e,sy,1
e,sko,1
e,tny,1
e,tn,1
e,mię,1
e,nie,1
e,ni,1
e,tr,1
e,rzy,1
za,ć,1
za,w,1
c,ie,1
c,zny,1
c,oty,1
dy,s,1
h,ani,1
h,an,1
h,ni,1
h,nie,1
h,wi,1
on,o,1
on,y,1
ro,w,1
ro,t,1
pe,ć,1
ac,i,1
ac,h,1
w,ka,1
w,ierz,1
w,nowa,1
w,nia,1
w,yk,1
w,iat,1
ś,nia,1
ś,wi,1
ie,ś,1
ie,m,1
ie,t,1
ie,rz,1
ł,od,1
ch,n,1
ch,ni,1
ch,w,1
ni,a,1
ni,n,1
ni,s,1
ni,owy,1
ani,o,1
ani,n,1
b,rut,1
b,yć,1
rut,a,1
rut,niejszy,1
al,n,1
ob,s,1
owa,ż,1
yk,t,1
yk,a,1
g,ro,1
g,ówn,1
g,as,1
ped,a,1
ped,i,1
ed,a,1
ed,y,1
ed,i,1
ko,ł,1
kow,y,1
kow,a,1
sko,w,1
sko,n,1
ka,?,1
ka,r,1
?,br,1
br,u,1
us,z,1
bor,ó,1
bo,r,1
najp,r,1
najp,ó,1
przytul,n,1
rz,b,1
rz,ą,1
rz,n,1
po,d,1
po,t,1
po,ra,1
kr,a,1
et,n,1
et,ny,1
tn,y,1
tn,i,1
gówn,o,1
gówn,i,1
bur,z,1
no,t,1
no,w,1
f,iczny,1
f,ara,1
jo,n,1
jo,d,1
fi,z,1
ż,ówka,1
ż,ni,1
ra,fa,1
zy,s,1
tra,w,1
ci,e,1
ci,b,1
wie,rz,1
ierz,b,1
ow,ni,1
ow,n,1
wni,c,1
ówn,o,1
ówn,i,1
nowa,ż,1
ówno,w,1
nie,ć,1
nie,j,1
oł,ą,1
oł,o,1
cze,n,1
ź,ni,1
ba,n,1
ba,k,1
do,f,1
do,s,1
os,z,1
os,o,1
nia,k,1
nia,d,1
ta,t,1
asn,o,1
si,a,1
si,ć,1
śni,a,1
śni,ć,1
od,z,1
prz,ą,1
prz,y,1
lo,s,1
lo,t,1
lo,w,1
te,l,1
yn,o,1
yn,a,1
at,r,1
at,ł,1
Ma,r,1
Ma,j,1
ła,c,1
cz,k,1
cz,ka,1
as,i,1
as,n,1
świat,ł,1
ń,ski,1
trz,e,1
na,ł,1
uc,i,1
uc,z,1
ara,o,1
ara,b,1
ok,a,1
ok,o,1
ry,n,1
ry,c,1
raci,b,1
erzy,s,1
erzy,ć,1
rzy,t,1
rzy,ć,1
ter,y,1
iat,ł,1
bu,r,1
oty,g,1
