Source,Target,Weights
w,ka,134
m,n,133
ś,n,133
k,e,132
ę,g,132
j,ę,132
ą,t,132
i,p,131
d,ź,131
k,owy,130
ł,ó,130
j,ny,130
i,b,129
b,ł,127
e,ż,127
ó,ż,126
e,o,125
w,r,123
z,ka,123
ś,m,123
po,d,122
t,niejszy,121
e,u,120
ni,k,120
ś,w,120
t,ny,119
b,s,119
n,ą,118
z,j,118
j,n,118
g,ó,117
z,p,117
ń,ski,117
b,y,116
ę,s,115
ni,a,115
z,ać,114
r,ą,113
ł,k,113
ą,g,113
n,ie,112
d,k,112
l,k,111
l,niejszy,111
w,ó,111
z,ny,111
r,g,110
u,g,110
r,b,109
w,u,108
ń,s,108
d,ny,107
ni,c,107
a,ś,106
k,c,106
wi,e,106
z,niejszy,105
d,p,105
s,n,104
d,ż,104
ę,b,104
r,ka,103
w,ę,103
cz,e,103
n,c,102
c,u,102
z,r,102
s,c,100
sz,y,100
ko,n,100
ą,ż,100
o,wy,99
k,?,98
cz,a,98
i,owy,97
o,wa,97
l,t,97
y,r,97
naj,s,97
?,m,97
g,w,96
h,u,96
ń,c,96
a,ź,95
w,c,95
ę,p,95
?,p,94
ar,z,93
a,cja,92
w,ny,92
w,ł,92
n,ny,91
o,ń,91
z,t,91
a,ni,90
t,owy,90
ż,o,90
r,owy,89
o,i,89
l,s,89
y,czny,89
d,niejszy,89
s,j,88
z,ą,88
u,ż,88
w,ie,87
ro,z,86
ę,z,85
u,ś,85
t,l,84
l,ą,84
ka,r,84
ł,n,84
w,niejszy,84
e,f,84
k,n,83
ł,t,83
naj,c,83
z,ł,83
ę,ż,83
z,g,82
ż,niejszy,81
k,ać,81
d,m,81
j,ski,81
j,ą,81
d,s,80
y,ś,79
e,ni,79
t,ra,78
ł,e,78
b,ó,78
u,j,78
s,ki,77
y,ka,77
h,r,77
ś,niejszy,77
r,p,76
naj,d,76
u,a,76
st,r,76
j,niejszy,75
ko,m,75
wa,ć,75
m,niejszy,74
s,ny,74
naj,w,74
p,y,74
h,y,74
ą,s,73
wi,a,73
ł,ą,72
cz,n,72
u,f,72
f,l,72
m,ie,71
n,ik,71
o,wać,71
e,cz,71
m,ę,70
pr,z,70
ą,z,70
r,ny,69
ż,ny,69
naj,p,69
ch,o,69
m,r,68
s,owy,68
t,ować,68
naj,r,68
w,d,68
a,ński,67
r,niejszy,67
d,l,67
ie,r,67
sk,i,67
k,ą,66
ł,ka,66
naj,z,66
naj,o,66
z,ar,65
rz,e,65
s,ą,64
l,ę,64
z,owy,64
f,u,64
s,ka,63
i,er,63
n,iczny,63
ź,niejszy,63
p,rze,63
r,ski,62
w,ar,62
t,ó,61
t,ni,61
l,szy,61
k,ar,61
y,f,61
y,?,61
p,rz,61
ó,t,61
ś,r,61
m,ó,60
i,ó,60
i,czny,60
i,cz,60
ł,ę,60
y,ż,60
c,ie,60
j,k,60
e,nie,60
ó,b,60
i,ż,59
g,ać,59
g,z,59
w,ą,59
sz,a,59
t,szy,58
r,ać,58
k,ować,58
y,ł,58
p,ę,58
ó,l,58
n,owy,57
n,n,57
g,ra,57
ż,u,57
w,szy,57
m,ł,56
s,tyczny,56
i,ar,56
t,ł,56
o,li,56
c,ić,56
b,ny,56
?,z,56
m,k,55
t,i,55
o,a,55
u,ć,55
st,a,55
rz,y,55
m,ny,54
t,ar,54
r,ze,54
l,ać,54
ć,?,54
p,ie,54
j,szy,54
owa,ć,54
s,tr,53
i,na,53
w,t,53
p,ra,53
z,s,53
e,ra,53
ar,k,53
an,i,53
i,ać,52
po,w,52
j,c,52
m,ar,51
m,iczny,51
a,nie,51
a,cz,51
t,er,51
ra,n,51
d,owy,51
ę,cz,51
e,?,51
l,w,50
ź,w,50
w,nik,50
w,anie,50
z,cz,50
d,ka,50
ko,r,50
a,i,49
a,li,49
n,niejszy,49
r,ować,49
po,p,49
po,r,49
ar,a,49
ar,y,49
ń,cz,49
ś,wi,49
i,?,48
t,on,48
o,ta,48
y,na,48
z,na,48
po,l,48
ow,a,48
r,f,47
l,ejszy,47
l,ka,47
l,m,47
li,c,47
li,s,47
z,ie,47
j,r,47
e,i,47
pi,e,47
ko,l,47
i,on,46
n,ę,46
o,o,46
l,g,46
ka,ć,46
ż,szy,46
w,z,46
p,ar,46
ś,ny,46
ś,ni,46
tr,a,46
a,ć się,45
i,ka,45
ż,ó,45
naj,l,45
ra,c,45
sz,c,45
ko,w,45
an,t,45
m,ą,44
n,ia,44
o,ra,44
ka,w,44
w,ni,44
ra,w,44
c,ja,44
po,t,44
d,ać,44
j,ka,44
u,w,44
u,sz,44
sz,e,44
ko,s,44
ch,ł,44
m,ać,43
a,lny,43
a,ra,43
a,ch,43
i,ł,43
n,ta,43
n,ić,43
l,ić,43
p,ro,43
c,ki,43
po,s,43
e,ta,43
u,ta,43
?,j,43
s,ó,42
s,ić,42
a,da,42
n,ować,42
r,ż,42
ro,n,42
p,od,42
p,c,42
z,ować,42
d,zi,42
d,c,42
ie,l,42
ba,n,42
ar,o,42
ar,t,42
ar,c,42
f,iczny,42
a,tyczny,41
n,ek,41
r,l,41
o,cz,41
l,c,41
ka,p,41
naj,g,41
j,u,41
e,le,41
prz,y,41
mi,e,41
ą,b,41
m,ka,40
a,ta,40
a,na,40
a,o,40
i,wy,40
n,ar,40
t,ek,40
o,ść,40
l,owy,40
l,ar,40
k,ó,40
ł,owy,40
ź,n,40
naj,b,40
c,za,40
z,ić,40
po,k,40
j,ać,40
e,h,40
u,ra,40
sz,k,40
ko,p,40
an,a,40
pa,r,40
dzi,e,40
s,h,39
t,m,39
r,ni,39
ka,n,39
ż,k,39
ź,d,39
w,ski,39
b,c,39
ie,c,39
sz,p,39
la,n,39
ar,n,39
n,f,38
o,ni,38
o,le,38
o,?,38
ro,m,38
g,d,38
li,w,38
ł,c,38
ź,l,38
naj,k,38
ra,m,38
c,t,38
c,owy,38
z,ó,38
d,szy,38
b,ie,38
er,z,38
h,ł,38
ta,r,38
ó,wka,38
on,o,38
s,zy,37
s,ać,37
a,st,37
t,ać,37
g,ę,37
k,ra,37
szcz,e,37
cz,k,37
le,t,37
u,ch,37
?,k,37
en,t,37
kr,z,37
s,ko,36
s,ar,36
a,tor,36
r,on,36
ro,d,36
l,b,36
naj,n,36
p,niejszy,36
z,l,36
d,ni,36
b,n,36
j,m,36
ni,s,36
prz,e,36
mi,a,36
ś,ci,36
wi,l,36
ma,n,36
te,r,36
m,owy,35
s,er,35
l,an,35
g,ar,35
li,n,35
ka,t,35
ż,ka,35
k,an,35
k,cja,35
naj,ś,35
ra,b,35
p,ać,35
d,ra,35
e,ch,35
e,ka,35
ani,n,35
ó,s,35
pa,n,35
m,s,34
t,ro,34
r,yczny,34
r,zy,34
o,e,34
o,wi,34
o,ka,34
ro,b,34
ro,w,34
l,f,34
li,k,34
ż,ą,34
ż,d,34
ra,d,34
p,k,34
cz,o,34
b,ar,34
za,r,34
ó,g,34
ch,w,34
ma,r,34
s,po,33
s,f,33
s,to,33
i,an,33
r,ek,33
o,h,33
g,ro,33
g,iczny,33
ę,ź,33
ie,n,33
u,ń,33
st,e,33
h,l,33
ó,ź,33
mi,ę,33
on,i,33
dzi,ć,33
o,wiec,32
g,m,32
li,m,32
li,p,32
ż,owy,32
ra,t,32
z,acja,32
b,ić,32
?,d,32
al,i,32
ki,e,32
h,ać,32
at,a,32
ar,i,32
ch,i,32
pa,l,32
m,on,31
s,ty,31
i,ć się,31
n,ó,31
n,cja,31
o,sz,31
o,na,31
o,pa,31
y,ch,31
y,ński,31
wy,m,31
z,ek,31
b,ek,31
b,k,31
e,li,31
e,czny,31
nie,p,31
nie,z,31
ba,s,31
ta,n,31
mi,n,31
f,or,31
ol,o,31
ci,e,31
rze,c,31
a,rz,30
i,enie,30
t,an,30
ł,p,30
y,cz,30
y,wać,30
ź,b,30
naj,t,30
w,iec,30
p,er,30
p,n,30
c,n,30
c,zy,30
z,ki,30
po,z,30
d,d,30
ę,ś,30
cz,ę,30
sz,l,30
kr,e,30
ó,z,30
ń,szy,30
ow,i,30
br,z,30
prze,s,30
ia,r,30
M,a,30
o,ro,29
o,-,29
l,on,29
ka,l,29
k,ie,29
y,st,29
ra,f,29
p,rzy,29
z,yć,29
z,on,29
d,ek,29
b,ać,29
j,d,29
ie,s,29
nie,d,29
rz,ą,29
ta,t,29
or,a,29
ś,p,29
me,n,29
m,ować,28
r,wa,28
l,nik,28
l,ski,28
y,wa,28
ź,r,28
wy,s,28
z,ni,28
z,enie,28
d,b,28
d,ro,28
b,ra,28
b,ę,28
e,tyczny,28
u,ź,28
st,y,28
?,c,28
nie,c,28
za,p,28
sz,u,28
sz,n,28
na,d,28
pi,s,28
ar,s,28
ow,y,28
ą,k,28
wi,z,28
ma,t,28
prze,d,28
pa,p,28
s,?,27
s,ować,27
s,l,27
a,wi,27
a,h,27
i,f,27
n,ać,27
n,ąć,27
t,yczny,27
r,nik,27
o,st,27
o,ński,27
l,d,27
k,wa,27
k,ro,27
ź,wi,27
c,ze,27
er,w,27
er,a,27
?,f,27
nie,o,27
os,z,27
os,t,27
f,on,27
ko,t,27
ch,r,27
ad,a,27
wi,ę,27
ia,n,27
tr,z,27
tr,u,27
S,ł,27
P,o,27
m,or,26
s,w,26
i,ń,26
n,anie,26
n,iec,26
t,nik,26
ro,ś,26
l,ować,26
g,owy,26
li,g,26
li,a,26
to,r,26
ka,z,26
ł,g,26
ł,b,26
w,cz,26
ra,s,26
po,m,26
d,er,26
b,owy,26
j,an,26
e,st,26
le,j,26
ie,d,26
?,t,26
al,e,26
ni,ć,26
ma,s,26
ma,k,26
tr,o,26
og,r,26
rze,s,26
s,za,25
i,st,25
i,li,25
i,jski,25
o,logiczny,25
l,acja,25
l,cz,25
g,ie,25
ż,ar,25
k,os,25
y,ń,25
naj,a,25
p,ka,25
z,anie,25
po,n,25
d,nik,25
cz,u,25
e,czka,25
e,ź,25
u,e,25
st,w,25
za,s,25
ba,t,25
ba,r,25
ni,n,25
at,o,25
prze,c,25
pa,s,25
s,r,24
s,pa,24
s,s,24
a,ba,24
a,wa,24
a,ły,24
a,sz,24
t,or,24
r,nia,24
o,ch,24
ka,s,24
k,ówka,24
ł,m,24
y,sta,24
p,ować,24
czy,n,24
z,wi,24
le,p,24
le,c,24
?,u,24
za,m,24
ba,k,24
ba,l,24
os,ł,24
os,k,24
sz,t,24
na,j,24
kr,y,24
ar,m,24
or,y,24
ko,c,24
ch,l,24
ad,z,24
el,e,24
pa,c,24
pa,d,24
m,f,23
s,ło,23
a,ma,23
a,po,23
i,el,23
i,styczny,23
r,an,23
r,acja,23
r,szy,23
r,cz,23
r,at,23
r,aw,23
o,dzić,23
l,er,23
y,styczny,23
ra,k,23
ć,w,23
p,la,23
c,ać,23
d,anie,23
d,ia,23
ę,ka,23
ę,ć,23
b,li,23
b,ka,23
b,szy,23
le,n,23
ie,t,23
ie,k,23
st,o,23
?,w,23
ani,e,23
al,a,23
ba,g,23
h,w,23
h,n,23
at,u,23
ó,c,23
ol,e,23
an,s,23
an,d,23
ś,li,23
wa,ż,23
in,a,23
H,i,23
m,g,22
s,ie,22
i,ec,22
n,ica,22
n,et,22
n,eczka,22
n,w,22
n,or,22
t,olog,22
r,ś,22
o,no,22
o,wnik,22
o,da,22
g,ni,22
li,b,22
k,on,22
k,nąć,22
k,owiec,22
ł,ż,22
w,ód,22
wy,b,22
po,ł,22
ę,czny,22
szcz,u,22
b,er,22
j,t,22
e,sz,22
e,ga,22
ie,p,22
nie,w,22
za,k,22
en,i,22
ta,ż,22
la,s,22
kr,ó,22
ró,ż,22
pr,o,22
on,y,22
or,t,22
ko,ś,22
ko,z,22
an,y,22
wa,n,22
wa,l,22
bi,e,22
m,er,21
m,l,21
a,to,21
a,le,21
a,rski,21
i,ni,21
i,ch,21
n,da,21
t,ko,21
t,eczka,21
r,os,21
r,ch,21
o,ź,21
ro,s,21
l,ż,21
g,on,21
ga,r,21
ż,ać,21
k,ow,21
ł,ow,21
ł,f,21
naj,m,21
p,le,21
p,owy,21
p,ny,21
z,er,21
z,yk,21
po,c,21
po,j,21
ła,d,21
b,ro,21
e,tka,21
le,k,21
le,w,21
u,ka,21
h,s,21
na,k,21
ta,j,21
us,z,21
mi,o,21
ur,a,21
si,ę,21
or,n,21
kon,s,21
od,w,21
aw,a,21
ci,a,21
mie,r,21
no,w,21
ud,o,21
me,t,21
K,o,21
m,ia,20
a,ka,20
a,cha,20
i,adać,20
n,tyczny,20
t,owanie,20
t,acja,20
o,u,20
l,et,20
g,an,20
ka,d,20
ł,s,20
ł,os,20
ź,ć,20
w,owy,20
w,p,20
ra,z,20
wy,r,20
p,ą,20
p,or,20
czy,k,20
c,ny,20
d,ło,20
d,al,20
d,ar,20
d,za,20
d,el,20
d,g,20
j,on,20
le,g,20
ie,w,20
u,cha,20
?,i,20
ty,c,20
ta,l,20
re,k,20
ot,a,20
ar,b,20
si,e,20
f,ar,20
f,t,20
on,a,20
mo,n,20
ch,a,20
an,k,20
wi,d,20
wa,r,20
ma,ł,20
ma,c,20
od,o,20
el,i,20
in,i,20
ze,r,20
et,k,20
anie,c,20
C,z,20
s,iejszy,19
a,ga,19
a,la,19
i,ca,19
i,ta,19
i,czka,19
i,ś,19
i,en,19
t,el,19
o,rze,19
o,ma,19
o,dzi,19
o,ko,19
o,kr,19
l,ik,19
l,at,19
ga,n,19
ż,er,19
ż,l,19
ż,s,19
k,re,19
ł,ek,19
y,sz,19
w,ować,19
wy,g,19
wy,k,19
c,ia,19
c,niejszy,19
z,an,19
z,nik,19
d,ę,19
d,ow,19
d,rze,19
szcz,y,19
cz,niejszy,19
b,ować,19
e,ro,19
ie,j,19
?,b,19
ba,w,19
sz,m,19
na,l,19
zy,s,19
ja,s,19
mi,s,19
ar,d,19
ło,w,19
f,ia,19
on,e,19
ol,i,19
ow,n,19
oc,z,19
or,e,19
ch,u,19
ch,e,19
wier,z,19
ma,g,19
cha,ć,19
pa,t,19
aw,i,19
uch,a,19
mie,s,19
A,n,19
m,en,18
m,an,18
m,m,18
s,kr,18
s,ze,18
a,szcz,18
a,ła,18
i,ad,18
i,sta,18
i,ani,18
i,os,18
i,P,18
n,z,18
t,at,18
t,?,18
t,le,18
r,ód,18
r,et,18
r,sz,18
r,r,18
o,ba,18
o,za,18
l,ista,18
li,t,18
ż,w,18
k,or,18
k,szy,18
ł,ować,18
ł,niejszy,18
ł,d,18
y,ć się,18
y,wny,18
ź,ny,18
w,nica,18
ra,g,18
p,ot,18
p,szcz,18
czy,ć,18
c,ud,18
c,zny,18
z,am,18
z,ko,18
d,zenie,18
d,zić,18
d,?,18
b,ą,18
j,ś,18
e,ski,18
e,wa,18
e,ma,18
ie,ń,18
ie,m,18
u,cz,18
nia,k,18
?,n,18
za,c,18
h,ar,18
h,c,18
en,e,18
na,r,18
ta,ć,18
kr,o,18
pi,ę,18
ot,y,18
ar,g,18
si,a,18
mo,r,18
ś,mie,18
wi,c,18
ma,m,18
prze,p,18
wie,l,18
rze,d,18
et,r,18
S,z,18
ec,z,18
I,n,18
m,et,17
m,owanie,17
s,ch,17
a,mi,17
a,e,17
i,ński,17
n,er,17
r,ówka,17
r,od,17
r,na,17
o,ga,17
o,mi,17
o,nowy,17
ro,p,17
ro,ż,17
l,ni,17
l,in,17
l,owanie,17
g,wi,17
g,ia,17
li,z,17
ka,m,17
ż,ni,17
ż,b,17
k,niejszy,17
k,rz,17
k,ol,17
k,op,17
k,si,17
k,wi,17
ł,z,17
y,ta,17
naj,i,17
w,an,17
wy,j,17
p,ły,17
p,al,17
z,wa,17
po,ż,17
d,ować,17
cz,ó,17
b,ur,17
b,ski,17
e,dzi,17
e,e,17
le,r,17
er,y,17
ie,ż,17
u,tka,17
u,ro,17
st,u,17
?,r,17
nie,b,17
nie,n,17
zy,c,17
ni,m,17
at,y,17
kr,u,17
ob,r,17
mi,g,17
mi,t,17
rzy,s,17
si,o,17
oc,h,17
ko,d,17
wi,ą,17
sk,o,17
da,l,17
lin,i,17
je,d,17
dzi,a,17
my,ś,17
ku,r,17
roz,m,17
str,z,17
A,r,17
G,r,17
m,at,16
m,ier,16
m,in,16
s,ter,16
s,ja,16
a,styczny,16
a,bi,16
a,czka,16
a,ty,16
a,wniejszy,16
a,a,16
i,ański,16
i,sz,16
n,at,16
t,ch,16
t,ologiczny,16
t,ura,16
r,owiec,16
r,uch,16
r,eczka,16
o,nia,16
o,sk,16
ro,t,16
l,og,16
g,nąć,16
g,rze,16
g,en,16
g,ż,16
li,j,16
ż,m,16
k,ański,16
k,om,16
k,la,16
y,pa,16
w,ić,16
ra,p,16
ra,ż,16
p,ić,16
c,zyk,16
z,da,16
z,ówka,16
d,zać,16
d,aw,16
j,sk,16
j,b,16
e,mi,16
er,e,16
os,i,16
ta,ń,16
at,k,16
la,r,16
bu,d,16
ró,w,16
rzy,m,16
ur,o,16
si,ą,16
f,ra,16
f,g,16
ow,o,16
or,z,16
ą,dzić,16
do,s,16
uc,h,16
sta,n,16
om,b,16
te,l,16
od,k,16
aw,k,16
dzi,w,16
szcze,l,16
cie,r,16
B,i,16
m,ienny,15
a,mo,15
a,ro,15
a,wny,15
i,ed,15
i,or,15
i,arz,15
i,anie,15
i,et,15
n,ista,15
t,rze,15
t,wa,15
t,en,15
r,da,15
r,ow,15
o,do,15
l,p,15
l,ó,15
g,li,15
g,ło,15
g,?,15
to,p,15
ka,b,15
ka,?,15
ż,yć,15
k,acja,15
k,le,15
k,al,15
ł,od,15
ł,on,15
ł,ać,15
y,ra,15
naj,e,15
w,ia,15
w,in,15
w,iejszy,15
ra,ń,15
wy,ż,15
p,ła,15
c,zeć,15
c,ó,15
z,od,15
z,es,15
ę,cie,15
b,an,15
j,l,15
e,la,15
e,ński,15
e,on,15
e,dzić,15
le,m,15
er,n,15
ie,ś,15
ie,z,15
ani,a,15
za,j,15
za,n,15
za,b,15
al,o,15
os,o,15
h,owy,15
ta,k,15
la,t,15
kr,ę,15
us,t,15
ak,t,15
ot,e,15
ar,w,15
ło,d,15
ło,ś,15
ń,sk,15
krz,y,15
or,o,15
or,m,15
or,d,15
ru,n,15
wo,d,15
prze,j,15
od,b,15
od,z,15
wie,c,15
cze,k,15
lin,a,15
cha,n,15
op,i,15
ze,s,15
pa,ł,15
ci,ą,15
gra,f,15
ku,p,15
str,a,15
praw,o,15
W,ł,15
m,owa,14
m,eta,14
s,am,14
s,ad,14
a,wy,14
a,nia,14
a,rze,14
am,b,14
i,ga,14
i,nia,14
n,iowy,14
n,ak,14
n,?,14
t,s,14
t,ur,14
t,owa,14
t,rz,14
t,al,14
r,ok,14
o,rzy,14
o,lo,14
o,ski,14
o,ry,14
o,re,14
o,chodzić,14
l,or,14
l,istyczny,14
g,er,14
g,or,14
li,ć,14
ga,ć,14
ka,c,14
ka,k,14
k,owa,14
k,ry,14
y,czniejszy,14
y,cha,14
y,cja,14
w,ość,14
w,nia,14
wy,d,14
p,is,14
c,zać,14
z,ia,14
z,ło,14
ę,ga,14
szcz,o,14
ła,c,14
ła,m,14
j,f,14
j,p,14
e,ko,14
e,nt,14
e,rz,14
e,cha,14
e,szcz,14
le,ż,14
er,d,14
er,o,14
er,b,14
er,p,14
u,dzić,14
rz,a,14
za,ć,14
za,l,14
ba,z,14
os,n,14
h,owiec,14
na,s,14
na,w,14
zy,k,14
ja,g,14
ac,j,14
ac,z,14
la,k,14
la,z,14
re,s,14
ob,i,14
ał,a,14
mi,l,14
ar,ó,14
ło,m,14
f,la,14
mo,t,14
ko,ł,14
br,u,14
pol,i,14
ed,z,14
do,w,14
lu,z,14
ś,nia,14
wi,s,14
wi,n,14
da,ć,14
wa,t,14
ma,j,14
od,e,14
od,a,14
od,p,14
in,t,14
cha,r,14
op,o,14
ze,c,14
pa,j,14
dzi,ę,14
ci,ę,14
ci,w,14
ku,c,14
mie,n,14
świ,e,14
no,t,14
et,a,14
str,o,14
um,i,14
un,a,14
pra,c,14
sp,o,14
kos,z,14
J,a,14
F,e,14
m,ski,13
s,ła,13
a,nka,13
a,tr,13
a,ki,13
i,nowy,13
i,czy,13
i,ak,13
n,owa,13
n,owanie,13
t,wi,13
r,zyć,13
r,en,13
r,sk,13
r,alny,13
r,owanie,13
o,wanie,13
o,tka,13
o,str,13
o,ty,13
o,mo,13
o,ce,13
o,tyczny,13
l,ek,13
l,nia,13
g,la,13
g,wa,13
g,rz,13
g,re,13
to,l,13
to,w,13
ka,j,13
ż,ówka,13
k,ur,13
k,li,13
k,at,13
k,cyjny,13
k,ta,13
ł,ówka,13
ł,ko,13
y,wi,13
y,li,13
y,nąć,13
w,sz,13
w,eczka,13
w,ić się,13
ra,ć,13
ć,pa,13
p,ier,13
p,os,13
p,ol,13
p,ski,13
z,ta,13
z,os,13
z,ro,13
z,nąć,13
d,chodzić,13
ę,dny,13
szcz,a,13
cz,ka,13
ła,t,13
b,at,13
b,ło,13
b,d,13
j,cz,13
j,er,13
e,ton,13
e,ista,13
er,s,13
u,st,13
u,mi,13
u,ni,13
u,na,13
nie,ć,13
rz,ę,13
ba,ż,13
en,a,13
na,p,13
at,e,13
ja,d,13
ja,j,13
ja,b,13
la,m,13
kr,w,13
kr,a,13
re,w,13
bu,t,13
ot,k,13
przy,s,13
ło,s,13
f,ać,13
mo,s,13
ko,k,13
ok,o,13
ą,cz,13
ą,ka,13
ch,or,13
lu,t,13
om,i,13
sk,r,13
wa,w,13
ma,l,13
ist,a,13
bi,a,13
zi,e,13
kon,t,13
tr,y,13
wie,r,13
in,g,13
ter,m,13
aw,c,13
świ,a,13
no,ś,13
staw,i,13
D,u,13
un,k,13
rzecz,y,13
praw,d,13
wia,d,13
met,a,13
m,ow,12
m,al,12
m,c,12
m,ek,12
s,tka,12
s,ma,12
s,prze,12
s,en,12
s,ol,12
a,żenie,12
a,pa,12
a,czny,12
a,dzić,12
am,o,12
i,sk,12
i,kać,12
n,iejszy,12
n,nik,12
n,ość,12
n,ad,12
t,c,12
t,wór,12
t,ą,12
r,ak,12
r,op,12
r,ta,12
r,ologiczny,12
o,czy,12
o,po,12
o,ło,12
l,ot,12
l,ga,12
l,ta,12
l,eczka,12
g,anie,12
ż,ł,12
ż,owanie,12
k,anie,12
k,in,12
k,ły,12
w,ać się,12
w,ro,12
wy,n,12
wy,l,12
p,us,12
p,rzes,12
p,rzec,12
c,ar,12
c,en,12
c,el,12
c,er,12
z,yn,12
z,bi,12
z,eczka,12
z,al,12
z,ód,12
z,wier,12
po,g,12
po,ś,12
d,owanie,12
b,ry,12
e,na,12
e,wi,12
e,kt,12
e,at,12
e,ba,12
e,ologiczny,12
le,b,12
u,ła,12
u,nek,12
u,li,12
u,pa,12
st,ę,12
nie,j,12
as,z,12
al,n,12
os,a,12
h,or,12
h,anie,12
en,d,12
na,t,12
ni,owy,12
szy,b,12
ta,s,12
at,r,12
ac,h,12
pi,o,12
ał,y,12
ło,t,12
ło,p,12
pe,ł,12
tu,r,12
ń,czyk,12
es,z,12
or,c,12
ch,c,12
ek,s,12
lu,b,12
sta,r,12
sta,t,12
sy,n,12
an,e,12
an,g,12
ś,wie,12
ś,nik,12
wi,k,12
wi,g,12
da,r,12
wa,ł,12
ma,tyczny,12
ce,n,12
zi,ć,12
op,a,12
pa,ć,12
og,a,12
ry,ś,12
ry,k,12
ry,j,12
pie,r,12
gra,n,12
dr,a,12
no,r,12
rze,m,12
rze,g,12
rze,b,12
et,y,12
me,d,12
nowa,ć,12
rzecz,o,12
praw,i,12
zie,m,12
ec,h,12
K,a,12
gr,z,12
m,ni,11
m,iec,11
m,ość,11
m,ani,11
m,od,11
s,zyć,11
s,łu,11
s,ia,11
s,ówka,11
a,nek,11
a,lo,11
a,rka,11
a,sta,11
a,ńczyk,11
a,tka,11
a,czyć,11
a,ski,11
i,ko,11
i,cja,11
i,wa,11
i,wać,11
n,ow,11
n,aw,11
n,te,11
t,ani,11
t,arz,11
t,nia,11
r,ab,11
r,oz,11
r,alniejszy,11
r,no,11
r,ń,11
